cat,year,type,count,killed
2,2000,11,5,0
2,2000,9,2,0
2,2001,14,669,0
2,2001,15,47,0
2,2001,10,44,0
2,2001,3,258,0
2,2001,1,200,0
2,2001,6,22,0
2,2001,2,250,0
2,2001,4,127,0
2,2001,19,93,0
2,2001,8,47,0
2,2001,12,16,0
2,2001,16,11,0
2,2001,22,10,0
2,2001,18,14,0
2,2001,20,10,0
2,2001,7,29,0
2,2001,5,2,0
2,2001,9,3,0
2,2001,17,8,0
2,2001,21,23,0
2,2001,11,7,0
2,2002,14,392,0
2,2002,4,170,0
2,2002,15,42,0
2,2002,1,154,0
2,2002,2,174,0
2,2002,3,118,0
2,2002,8,28,0
2,2002,19,93,0
2,2002,21,17,0
2,2002,10,23,0
2,2002,20,21,0
2,2002,7,25,0
2,2002,16,7,0
2,2002,18,9,0
2,2002,6,18,0
2,2002,9,1,0
2,2002,11,2,0
2,2002,12,8,0
2,2002,22,2,0
2,2002,17,5,0
2,2003,3,142,0
2,2003,21,46,0
2,2003,14,259,0
2,2003,1,145,0
2,2003,15,31,0
2,2003,2,182,0
2,2003,4,222,0
2,2003,8,25,0
2,2003,17,8,0
2,2003,7,45,0
2,2003,16,15,0
2,2003,19,62,0
2,2003,20,16,0
2,2003,22,11,0
2,2003,10,9,0
2,2003,18,10,0
2,2003,6,8,0
2,2003,12,20,0
2,2003,9,3,0
2,2003,11,2,0
2,2003,5,2,0
2,2004,10,23,0
2,2004,14,223,0
2,2004,21,30,0
2,2004,19,51,0
2,2004,3,173,0
2,2004,4,179,0
2,2004,2,163,0
2,2004,8,24,0
2,2004,7,33,0
2,2004,15,47,0
2,2004,12,19,0
2,2004,1,120,0
2,2004,11,5,0
2,2004,17,4,0
2,2004,6,6,0
2,2004,22,10,0
2,2004,20,18,0
2,2004,18,5,0
2,2004,5,1,0
2,2004,13,2,0
2,2004,16,1,0
2,2005,4,278,0
2,2005,3,371,0
2,2005,14,433,0
2,2005,1,157,0
2,2005,8,57,0
2,2005,2,328,0
2,2005,15,89,0
2,2005,5,4,0
2,2005,19,70,0
2,2005,7,41,0
2,2005,10,24,0
2,2005,21,50,0
2,2005,20,7,0
2,2005,16,11,0
2,2005,17,18,0
2,2005,9,5,0
2,2005,22,9,0
2,2005,18,11,0
2,2005,12,10,0
2,2005,6,6,0
2,2005,13,3,0
2,2005,11,2,0
2,2006,8,87,0
2,2006,14,840,0
2,2006,7,42,0
2,2006,2,367,0
2,2006,3,468,0
2,2006,4,226,0
2,2006,21,71,0
2,2006,17,20,0
2,2006,1,241,0
2,2006,15,94,0
2,2006,10,41,0
2,2006,22,12,0
2,2006,16,16,0
2,2006,19,111,0
2,2006,20,25,0
2,2006,12,22,0
2,2006,9,9,0
2,2006,18,15,0
2,2006,13,2,0
2,2006,6,5,0
2,2006,11,2,0
